"","x"
"675","ZADH2"
"676","ZNF195"
"677","ZNF471"
"678","TNFSF15"
"679","VDAC3"
"680","UAP1"
"681","TRA2A"
"682","WDR19"
"683","WASL"
"684","TREML2"
"685","ZWILCH"
"686","ZNF627"
"687","TRIM6"
"688","ZNF774"
"689","ZSWIM7"
"690","WBP2NL"
"691","WDR36"
"692","TNFRSF10A"
"693","ZNF160"
"694","ZNF709"
"695","ZNF345"
"696","VPS45"
"697","ZNF703"
"698","ZFAND2A"
"699","ZNF202"
"700","ZDBF2"
"701","WBP1L"
"702","ZNF248"
"703","ZNF410"
"704","ZNF354C"
"705","WNT3A"
"706","ZNF292"
"707","TTC3"
"708","ZCCHC8"
"709","ZNF222"
"710","ZNF583"
"711","VWCE"
"712","ZNF470"
"713","ZNF717"
"714","ZNF423"
"715","ZNF595"
"716","ZKSCAN5"
"717","UTP11"
"718","VOPP1"
"719","WISP1"
"720","ZNF550"
"721","ZNF789"
"722","XPO6"
"723","UBL3"
"724","TRIQK"
"725","ZMAT3"
"726","ZNF469"
"727","TYRO3"
"728","YWHAG"
"729","ZNF628"
"730","VASH1"
"731","ZNF91"
"732","VKORC1"
"733","ZNF625"
"734","ZNF737"
"735","ZNF182"
"736","ZNF594"
"737","TOGARAM1"
"738","WFDC10B"
"739","VWA8"
"740","TNNT3"
"741","ZNF680"
"742","TSKU"
"743","ZNF880"
"744","ZNF449"
"745","XX-FW81066F1.2"
"746","ZNF521"
"747","YARS"
"748","ZNF519"
"749","ZNF667"
"750","ZNF517"
"751","UBR3"
"752","ZNF329"
"753","TRPM6"
"754","UQCRH"
"755","ZNF44"
"756","ZNF638"
"757","ZBTB7B"
"758","ZNF701"
"759","YTHDF1"
"760","ZNF572"
"761","TMSB15A"
